env_uncertainty,steps_per_round,low_payoff,mean_social_learner
0.0,1,0.1,1.0
0.0,2,0.1,1.0
0.0,4,0.1,1.0
0.0,8,0.1,1.0
0.1,1,0.1,1.0
0.1,2,0.1,1.0
0.1,4,0.1,1.0
0.1,8,0.1,1.0
0.2,1,0.1,1.0
0.2,2,0.1,1.0
0.2,4,0.1,1.0
0.2,8,0.1,1.0
0.3,1,0.1,1.0
0.3,2,0.1,1.0
0.3,4,0.1,1.0
0.3,8,0.1,1.0
0.4,1,0.1,1.0
0.4,2,0.1,1.0
0.4,4,0.1,1.0
0.4,8,0.1,0.993
0.5,1,0.1,1.0
0.5,2,0.1,1.0
0.5,4,0.1,0.997
0.5,8,0.1,0.004
0.6,1,0.1,0.988
0.6,2,0.1,0.936
0.6,4,0.1,0.026
0.6,8,0.1,0.0
0.7,1,0.1,0.641
0.7,2,0.1,0.027
0.7,4,0.1,0.0
0.7,8,0.1,0.0
0.8,1,0.1,0.022
0.8,2,0.1,0.001
0.8,4,0.1,0.0
0.8,8,0.1,0.0
0.9,1,0.1,0.0
0.9,2,0.1,0.0
0.9,4,0.1,0.0
0.9,8,0.1,0.0
1.0,1,0.1,0.0
1.0,2,0.1,0.0
1.0,4,0.1,0.0
1.0,8,0.1,0.0
0.0,1,0.45,1.0
0.0,2,0.45,1.0
0.0,4,0.45,1.0
0.0,8,0.45,1.0
0.1,1,0.45,1.0
0.1,2,0.45,1.0
0.1,4,0.45,1.0
0.1,8,0.45,1.0
0.2,1,0.45,1.0
0.2,2,0.45,1.0
0.2,4,0.45,1.0
0.2,8,0.45,1.0
0.3,1,0.45,1.0
0.3,2,0.45,1.0
0.3,4,0.45,1.0
0.3,8,0.45,1.0
0.4,1,0.45,1.0
0.4,2,0.45,1.0
0.4,4,0.45,1.0
0.4,8,0.45,0.852
0.5,1,0.45,0.995
0.5,2,0.45,1.0
0.5,4,0.45,0.935
0.5,8,0.45,0.031
0.6,1,0.45,0.975
0.6,2,0.45,0.903
0.6,4,0.45,0.054
0.6,8,0.45,0.0
0.7,1,0.45,0.755
0.7,2,0.45,0.134
0.7,4,0.45,0.001
0.7,8,0.45,0.0
0.8,1,0.45,0.275
0.8,2,0.45,0.003
0.8,4,0.45,0.0
0.8,8,0.45,0.0
0.9,1,0.45,0.063
0.9,2,0.45,0.0
0.9,4,0.45,0.0
0.9,8,0.45,0.0
1.0,1,0.45,0.016
1.0,2,0.45,0.0
1.0,4,0.45,0.0
1.0,8,0.45,0.0
0.0,1,0.8,0.685
0.0,2,0.8,0.729
0.0,4,0.8,0.643
0.0,8,0.8,0.61
0.1,1,0.8,0.667
0.1,2,0.8,0.658
0.1,4,0.8,0.667
0.1,8,0.8,0.527
0.2,1,0.8,0.639
0.2,2,0.8,0.624
0.2,4,0.8,0.58
0.2,8,0.8,0.503
0.3,1,0.8,0.536
0.3,2,0.8,0.592
0.3,4,0.8,0.541
0.3,8,0.8,0.496
0.4,1,0.8,0.596
0.4,2,0.8,0.577
0.4,4,0.8,0.538
0.4,8,0.8,0.458
0.5,1,0.8,0.55
0.5,2,0.8,0.557
0.5,4,0.8,0.481
0.5,8,0.8,0.447
0.6,1,0.8,0.523
0.6,2,0.8,0.486
0.6,4,0.8,0.411
0.6,8,0.8,0.379
0.7,1,0.8,0.463
0.7,2,0.8,0.432
0.7,4,0.8,0.447
0.7,8,0.8,0.405
0.8,1,0.8,0.477
0.8,2,0.8,0.498
0.8,4,0.8,0.38
0.8,8,0.8,0.336
0.9,1,0.8,0.468
0.9,2,0.8,0.407
0.9,4,0.8,0.378
0.9,8,0.8,0.295
1.0,1,0.8,0.455
1.0,2,0.8,0.426
1.0,4,0.8,0.361
1.0,8,0.8,0.331
