env_uncertainty,steps_per_round,low_payoff,mean_social_learner
0.0,1,0.1,1.0
0.0,2,0.1,1.0
0.0,4,0.1,1.0
0.0,8,0.1,1.0
0.1,1,0.1,1.0
0.1,2,0.1,1.0
0.1,4,0.1,1.0
0.1,8,0.1,1.0
0.2,1,0.1,1.0
0.2,2,0.1,1.0
0.2,4,0.1,1.0
0.2,8,0.1,0.968
0.3,1,0.1,1.0
0.3,2,0.1,0.989
0.3,4,0.1,0.522
0.3,8,0.1,0.0
0.4,1,0.1,0.877
0.4,2,0.1,0.136
0.4,4,0.1,0.0
0.4,8,0.1,0.0
0.5,1,0.1,0.071
0.5,2,0.1,0.001
0.5,4,0.1,0.0
0.5,8,0.1,0.0
0.6,1,0.1,0.005
0.6,2,0.1,0.0
0.6,4,0.1,0.0
0.6,8,0.1,0.0
0.7,1,0.1,0.0
0.7,2,0.1,0.0
0.7,4,0.1,0.0
0.7,8,0.1,0.0
0.8,1,0.1,0.0
0.8,2,0.1,0.0
0.8,4,0.1,0.0
0.8,8,0.1,0.0
0.9,1,0.1,0.0
0.9,2,0.1,0.0
0.9,4,0.1,0.0
0.9,8,0.1,0.0
1.0,1,0.1,0.0
1.0,2,0.1,0.0
1.0,4,0.1,0.0
1.0,8,0.1,0.0
0.0,1,0.45,1.0
0.0,2,0.45,1.0
0.0,4,0.45,1.0
0.0,8,0.45,1.0
0.1,1,0.45,1.0
0.1,2,0.45,1.0
0.1,4,0.45,1.0
0.1,8,0.45,0.99
0.2,1,0.45,1.0
0.2,2,0.45,1.0
0.2,4,0.45,0.999
0.2,8,0.45,0.228
0.3,1,0.45,1.0
0.3,2,0.45,1.0
0.3,4,0.45,0.439
0.3,8,0.45,0.001
0.4,1,0.45,0.992
0.4,2,0.45,0.552
0.4,4,0.45,0.0
0.4,8,0.45,0.0
0.5,1,0.45,0.417
0.5,2,0.45,0.006
0.5,4,0.45,0.0
0.5,8,0.45,0.0
0.6,1,0.45,0.021
0.6,2,0.45,0.0
0.6,4,0.45,0.0
0.6,8,0.45,0.0
0.7,1,0.45,0.0
0.7,2,0.45,0.0
0.7,4,0.45,0.0
0.7,8,0.45,0.0
0.8,1,0.45,0.0
0.8,2,0.45,0.0
0.8,4,0.45,0.0
0.8,8,0.45,0.0
0.9,1,0.45,0.0
0.9,2,0.45,0.0
0.9,4,0.45,0.0
0.9,8,0.45,0.0
1.0,1,0.45,0.0
1.0,2,0.45,0.0
1.0,4,0.45,0.0
1.0,8,0.45,0.0
0.0,1,0.8,0.835
0.0,2,0.8,0.79
0.0,4,0.8,0.62
0.0,8,0.8,0.411
0.1,1,0.8,0.758
0.1,2,0.8,0.732
0.1,4,0.8,0.54
0.1,8,0.8,0.415
0.2,1,0.8,0.675
0.2,2,0.8,0.639
0.2,4,0.8,0.487
0.2,8,0.8,0.39
0.3,1,0.8,0.612
0.3,2,0.8,0.625
0.3,4,0.8,0.43
0.3,8,0.8,0.365
0.4,1,0.8,0.551
0.4,2,0.8,0.535
0.4,4,0.8,0.416
0.4,8,0.8,0.335
0.5,1,0.8,0.535
0.5,2,0.8,0.472
0.5,4,0.8,0.395
0.5,8,0.8,0.311
0.6,1,0.8,0.408
0.6,2,0.8,0.354
0.6,4,0.8,0.311
0.6,8,0.8,0.295
0.7,1,0.8,0.378
0.7,2,0.8,0.339
0.7,4,0.8,0.301
0.7,8,0.8,0.262
0.8,1,0.8,0.343
0.8,2,0.8,0.294
0.8,4,0.8,0.27
0.8,8,0.8,0.259
0.9,1,0.8,0.378
0.9,2,0.8,0.278
0.9,4,0.8,0.217
0.9,8,0.8,0.215
1.0,1,0.8,0.316
1.0,2,0.8,0.251
1.0,4,0.8,0.201
1.0,8,0.8,0.221
